dataset,seed,method,perturbation,split,pearson,pearson_delta,l2,approach,label
norman_from_scfoundation,1,geneformer,CBL+PTPN9,val,0.9974266286487964,0.9060549893250465,2.525775548925011,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CBL+PTPN12,val,0.9986986410056893,0.9599140840988621,1.531355816080194,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CBL+TGFBR2,val,0.9985047352983263,0.9090028105167361,1.759829177723605,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CBL+UBASH3B,test,0.9963826597346005,0.9341845737770557,2.78687413203557,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CDKN1B+CDKN1A,test,0.997596047095258,0.9260925848802748,2.355482288958983,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CDKN1C+CDKN1A,val,0.9972859882428496,0.9230939159896362,2.202240347963837,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CDKN1C+CDKN1B,test,0.9969448151642311,0.9080656974415926,2.40562551388817,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CEBPB+CEBPA,val,0.9938747267032394,0.923486298656302,3.29528851225132,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CEBPB+MAPK1,val,0.9960163154540451,0.9056110851247219,3.197311120254403,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CEBPB+PTPN12,test,0.9956784508749594,0.8533021607763254,3.036592894839763,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CEBPE+CEBPB,val,0.9955946265306677,0.9274714230727091,2.850200731175412,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CEBPE+CNN1,test,0.9977577168753657,0.8712958536775249,1.979086229137829,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CEBPE+KLF1,val,0.9880595657311014,0.4250501789269654,5.333666587854157,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CEBPE+RUNX1T1,val,0.9968116553879792,0.8143274805315073,2.633857555271115,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CEBPE+SPI1,test,0.9814226919025522,0.8893148553797381,6.846628206897952,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,CNN1+MAPK1,val,0.9963072269907153,0.8630097631160119,2.679593926797855,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,DUSP9+ETS2,test,0.9899652870660797,0.7478196579163133,4.624323041112407,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,DUSP9+IGDCC3,val,0.9888455569313368,0.7160140647887834,4.485726529929629,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,DUSP9+KLF1,val,0.9938286064313576,0.8655089470311046,3.606295167566667,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,ETS2+IKZF3,val,0.9981114916769186,0.9682207520848282,1.79164509158229,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,FEV+CBFA2T3,test,0.9799515314009396,0.7666679999603958,6.376476616696717,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,FEV+MAP7D1,test,0.9943975101474111,0.8824314971402266,2.993102417364839,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,FOSB+OSR2,test,0.996845325641321,0.8914106518640507,2.252547188952952,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,FOSB+UBASH3B,val,0.9978167137649413,0.7874778418811366,1.986988003291273,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,FOXA1+FOXF1,test,0.9965220650227838,0.8436949831607932,2.457568949488506,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,FOXA1+HOXB9,val,0.9924266338584753,0.912719934278171,4.115712950971705,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,FOXF1+FOXL2,test,0.991433404679451,0.7747479122968074,3.820768560551313,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,FOXL2+MEIS1,val,0.9907262179641183,0.5350361125027433,4.079893675354751,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,IGDCC3+MAPK1,val,0.9978981996974644,0.7727645889630038,1.96836886237666,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,IGDCC3+ZBTB25,val,0.995955232164463,0.8937989351267738,2.922479808055618,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,IRF1+SET,test,0.993678254496675,0.8301819323557804,3.960330935277642,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,KLF1+BAK1,test,0.9927354371123721,0.3806013926411886,3.972967550254397,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,KLF1+CLDN6,test,0.9878163825615704,0.5732302944107394,5.095427620453962,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,KLF1+COL2A1,test,0.9930688500396005,0.6997460094577714,3.413608485460951,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,KLF1+FOXA1,val,0.9926915360034979,0.525249595074027,3.552202031886162,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,LYL1+CEBPB,test,0.9954568786254904,0.7840863378035715,2.963775856642958,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,MAP2K3+IKZF3,val,0.9968598075755357,0.9225198940469804,2.424094224925097,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,MAP2K6+IKZF3,test,0.9968977424620635,0.9315636207124369,2.650781118569718,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,MAPK1+IKZF3,val,0.9973996154296723,0.9496018472846015,2.279102741487697,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,PLK4+STIL,test,0.9933510660239153,0.5585747610893554,3.361636405931209,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,POU3F2+FOXL2,val,0.9939914353707594,0.8477577288085629,3.214875004650348,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,PRDM1+CBFA2T3,test,0.9909347571041283,0.9076678827596241,4.182279707786323,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,PTPN12+ZBTB25,test,0.9981993794686187,0.961744464084124,1.875281030767009,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,RHOXF2+SET,test,0.9946786124892526,0.8628671586888311,3.016321862207083,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,RHOXF2+ZBTB25,test,0.9942252297180719,0.8743181973412317,3.16437731835146,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,SAMD1+TGFBR2,test,0.9961387171921666,0.8123270051316023,2.587149288130341,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,SAMD1+UBASH3B,val,0.9970781090618216,0.9357523786378709,2.82269590076749,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,SGK1+S1PR2,test,0.9944813755354976,0.8175226824621566,3.690927750452287,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,SNAI1+DLX2,val,0.9896338633007856,0.7500186179038169,4.955106773106758,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,TGFBR2+ETS2,val,0.9980774302165518,0.7739247121751365,1.806561348897918,foundation_model,Geneformer*|Foundation Models
norman_from_scfoundation,1,geneformer,TGFBR2+PRTG,val,0.9976905428954403,0.9279976963521257,2.031862239866761,foundation_model,Geneformer*|Foundation Models
